Time(ms),Volume,Pressure,Temperature 1,Temperature 2,,Time(ms) - Driven,Volume - Driven,Pressure - Driven,Temperature 1 - Driven,Temperature 2 - Driven
1707,30.228482428142843,92.3046875,206,53.75,,1612,39.38369982909113,68.76953125,44.75,28.75
1715,29.976902302391775,94.34326172,206,53.75,,1618,40.64821779213243,68.79394531,44.75,28.75
1723,29.858673634370014,95.57617188,206,53.75,,1626,41.3453858,69.40429688,44.75,28.75
1731,29.861805984432134,95.96679688,206,53.75,,1634,41.616451882617895,70.68603516,44.75,28.75
1740,29.983157503457157,95.51513672,206,53.75,,1642,41.11831978594797,72.46826172,44.75,28.75
1748,30.228482428142843,94.24560547,206,53.75,,1650,39.89685853603294,75.08056641,44.75,28.75
1756,30.606761466744157,92.40234375,206.25,53.75,,1659,38.11384451381472,78.54736328,44.75,28.75
1764,31.132377929239055,89.89990234,206.25,53.75,,1667,36.068642770952124,82.42919922,44.75,28.75
1772,31.81097640071077,87.20214844,206.25,53.75,,1675,34.066504437956574,86.86035156,44.75,28.75
1781,32.66111130530361,84.22363281,206.25,53.75,,1683,32.336153518515154,90.69335938,44.75,28.75
1789,33.65147535309734,81.45263672,206.25,53.75,,1691,31.05957367132058,93.35449219,44.75,28.75
1797,34.75848289,78.76708984,206.25,53.75,,1700,30.244559220662293,93.8671875,44.75,28.75
1805,35.92561420812556,76.43554688,206.25,53.75,,1708,29.874591122853342,92.14599609,44.75,28.75
1813,37.09243848497357,74.32373047,206.25,53.75,,1716,29.930857130981877,88.42285156,44.75,28.75
1822,38.18683705156967,72.578125,206.25,53.75,,1724,30.417349693161505,83.47900391,44.75,28.75
1830,39.16371682696491,71.04003906,206.25,53.75,,1732,31.374538251730463,78.86474609,44.75,28.75
1838,39.99759404788588,69.79492188,206.25,53.75,,1741,32.785932981714076,74.67773438,44.75,28.75
1846,40.64821779213243,68.69628906,206.25,53.75,,1749,34.613746686374576,71.71142578,44.75,28.75
1854,41.13515417623482,67.85400391,206.25,53.75,,1757,36.66218190782095,69.73388672,44.75,28.75
1862,41.45138993959099,67.109375,206.25,53.75,,1765,38.63429648,68.8671875,44.75,28.75
1871,41.60623820204476,66.56005859,206.25,53.75,,1773,40.27182616128006,68.80615234,44.75,28.75
1879,41.60792126878249,66.09619141,206.25,53.75,,1782,41.30919336433531,69.36767578,44.75,28.75
1887,41.46138065586393,65.77880859,206.25,53.75,,1790,41.62190780734784,70.55175781,44.75,28.75
1895,41.17204799934318,65.62011719,206.25,53.75,,1798,41.15171999490284,72.32177734,44.75,28.75
1903,40.73799716,65.62011719,206,53.75,,1806,39.969056046585145,75.01953125,44.75,28.75
1912,40.164613558080625,65.85205078,206,53.75,,1814,38.223200587550394,78.29101563,44.75,28.75
1920,39.47126742300913,66.30371094,206,53.75,,1823,36.16418113269201,82.36816406,44.75,28.75
1928,38.643075587376416,67.07275391,206,53.75,,1831,34.144492959139356,86.59179688,44.75,28.75
1936,37.70675607676966,68.14697266,206,53.75,,1839,32.41213591448619,90.63232422,44.75,28.75
1944,36.671762111545185,69.73388672,206,53.75,,1847,31.10786887390289,93.25683594,44.75,28.75
1953,35.584231324835564,71.71142578,206,53.75,,1855,30.272100684286674,93.8671875,44.75,28.75
1961,34.48821697831041,74.37255859,206,53.75,,1863,29.882337122473203,92.28027344,44.75,28.75
1969,33.43825999,77.36328125,206,53.75,,1872,29.915435054794603,88.42285156,44.75,28.75
1977,32.48215784009572,80.81787109,206,53.75,,1880,30.385302576197994,83.73535156,44.75,28.75
1985,31.66132459786504,84.22363281,206,53.75,,1888,31.31595556029665,78.91357422,44.75,28.75
1994,30.99823060000582,87.50732422,206,53.75,,1896,32.71220435283684,74.88525391,44.75,28.75
2002,30.491178846054627,90.55908203,206,53.75,,1903,34.52397285870481,72.07763672,44.75,28.75
2010,30.136742223453886,93.03710938,206,53.75,,1912,36.28854932,69.92919922,44.75,28.75
2018,29.92716210317779,94.78271484,206,53.75,,1920,38.31370553425034,68.92822266,44.75,28.75
2026,29.84668761476008,95.75927734,206,53.75,,1928,40.018868031193385,68.70849609,44.75,28.75
2034,29.886548794540587,95.91796875,206,53.75,,1936,41.176062870258406,69.16015625,44.75,28.75
2043,30.04603633202169,95.20996094,206,53.75,,1944,41.62333062348824,70.27099609,44.75,28.75
2051,30.332983850559224,93.68408203,206.25,53.75,,1953,41.30919336433531,71.93115234,44.75,28.75
2059,30.756696114778897,91.66992188,206.25,53.75,,1961,40.251982024101665,74.44580078,44.75,28.75
2067,31.33712365,89.04541016,206.25,53.75,,1969,38.590293589423744,77.53417969,44.75,28.75
2074,32.06918055887492,86.56738281,206.25,53.75,,1977,36.595111303553125,81.46484375,44.75,28.75
2080,32.84553619428478,84.71191406,206.25,53.75,,1985,34.568791948810144,85.63964844,44.75,28.75
2087,33.46260167991814,82.19726563,206.25,53.75,,1994,32.75633771418437,89.83886719,44.75,28.75
2091,34.40809637007577,80.87890625,206.25,53.75,,2002,31.358445701268664,92.79296875,44.75,28.75
2096,34.977948788275086,79.21875,206.25,53.75,,2010,30.420606296501898,93.92822266,44.75,28.75
2103,35.716623037709006,77.0703125,206.25,53.75,,2018,29.93463386548915,92.81738281,44.75,28.75
2108,36.73881008602305,75.80078125,206.25,53.75,,2026,29.87037677207058,89.48486328,44.75,28.75
2115,37.462497353528626,74.03076172,206.25,53.75,,2034,30.233804053370488,84.93164063,44.75,28.75
2121,38.39464528483725,72.88330078,206.25,53.75,,2043,31.031059147752245,79.95117188,44.75,28.75
2128,39.00487256254952,71.51611328,206.25,53.75,,2050,32.31562154,76.24023438,44.75,28.75
2133,39.76390912007195,70.64941406,206.25,53.75,,2057,33.78515519504036,73.29833984,44.75,28.75
2141,40.22533669286754,69.47753906,206.25,53.75,,2062,35.499411358599836,71.56494141,44.75,28.75
2149,40.823879311535606,68.45214844,206.25,53.75,,2069,36.77710994728844,69.85595703,44.5,28.75
2157,41.25643658928915,67.62207031,206.25,53.75,,2074,38.51952470898745,69.14794922,44.5,28.75
